Name,Location,Type,Religious Affiliation,Rating,Features
Attraction 51,Tyre,Nature,None,5.7,"Cultural Experience, Panoramic Views, Workshops"
Attraction 52,Byblos,Nature,None,5.3,"Historical Production, Cooking Classes"
Attraction 53,Sidon,Historical,Christianity,8.6,"Workshops, Local Cuisine, Snow Activities, Historical Production"
Attraction 54,Sidon,Culinary,None,7.8,"Workshops, Ancient Ruins, Street Food, Religious Sites"
Attraction 55,Tyre,Historical,Christianity,6.8,"Relaxing, Cultural Experience"
Attraction 56,Sidon,Historical,None,9.0,"Markets, Cooking Classes"
Attraction 57,Byblos,Nature,None,6.9,"Historical Production, Hiking, Relaxing, Cooking Classes"
Attraction 58,Byblos,Nature,Islam,9.0,"Historical Production, Traditional Dishes, Vegan Options"
Attraction 59,Tyre,Culinary,None,6.5,"Roman Architecture, Markets"
Attraction 60,Mount Leban,Nature,Islam,5.4,"Snow Activities, Ancient Ruins"
Attraction 61,Bsharri,Nature,None,9.7,"Cooking Classes, Historical Production, Scenic Views"
Attraction 62,North Leban,Historical,Christianity,7.0,"Snow Activities, Markets"
Attraction 63,Mount Leban,Nature,Christianity,9.0,"Vegan Options, Cultural Experience"
Attraction 64,Tripoli,Culinary,None,6.4,"Relaxing, Local Cuisine, Roman Architecture"
Attraction 65,Byblos,Historical,None,8.2,"Beaches, Vegan Options, Markets"
Attraction 66,Tripoli,Culinary,Christianity,9.4,"Beaches, Roman Architecture, Panoramic Views, Local Cuisine"
Attraction 67,Mount Leban,Historical,None,5.2,"Ancient Ruins, Panoramic Views, Markets"
Attraction 68,North Leban,Nature,Islam,9.2,"Hiking, Scenic Views, Traditional Dishes, Religious Sites"
Attraction 69,North Leban,Historical,Islam,7.9,"Street Food, Scenic Views, Workshops"
Attraction 70,Beirut,Historical,Islam,8.0,"Local Cuisine, Historical Production, Ancient Ruins"
Attraction 71,North Leban,Nature,Islam,7.6,"Beaches, Cooking Classes"
Attraction 72,Bsharri,Nature,Islam,9.4,"Local Cuisine, Beaches, Workshops"
Attraction 73,North Leban,Culinary,None,5.2,"Markets, Relaxing, Panoramic Views, Historical Production"
Attraction 74,Mount Leban,Culinary,None,6.3,"Relaxing, Religious Sites, Cultural Experience"
Attraction 75,Beirut,Nature,Islam,9.4,"Historical Production, Beaches"
Attraction 76,Mount Leban,Nature,None,8.8,"Vegan Options, Hiking"
Attraction 77,Mount Leban,Nature,None,5.1,"Cultural Experience, Cooking Classes, Roman Architecture"
Attraction 78,Baalbek,Historical,Islam,7.6,"Panoramic Views, Snow Activities"
Attraction 79,Beirut,Historical,None,7.6,"Street Food, Local Cuisine"
Attraction 80,Mount Leban,Historical,None,7.0,"Workshops, Scenic Views, Cooking Classes"
Attraction 81,Baalbek,Nature,None,6.5,"Traditional Dishes, Ancient Ruins, Panoramic Views"
Attraction 82,Baalbek,Culinary,Islam,8.4,"Religious Sites, Historical Production, Snow Activities"
Attraction 83,Beirut,Nature,None,6.0,"Traditional Dishes, Markets, Vegan Options, Panoramic Views"
Attraction 84,Tripoli,Historical,Christianity,9.0,"Street Food, Panoramic Views, Hiking"
Attraction 85,Bsharri,Historical,Christianity,9.0,"Ancient Ruins, Cultural Experience, Local Cuisine, Hiking"
Attraction 86,North Leban,Nature,Islam,7.1,"Street Food, Historical Production, Workshops, Traditional Dishes"
Attraction 87,Bsharri,Nature,Christianity,6.4,"Relaxing, Vegan Options"
Attraction 88,North Leban,Historical,Islam,6.4,"Beaches, Panoramic Views, Ancient Ruins, Workshops"
Attraction 89,Mount Leban,Historical,Christianity,7.4,"Hiking, Cooking Classes"
Attraction 90,Byblos,Historical,Christianity,8.6,"Panoramic Views, Historical Production, Local Cuisine"
Attraction 91,Beirut,Nature,Christianity,6.8,"Cooking Classes, Relaxing, Religious Sites, Snow Activities"
Attraction 92,Bsharri,Historical,Islam,8.1,"Historical Production, Local Cuisine, Relaxing"
Attraction 93,Bsharri,Historical,Islam,6.9,"Roman Architecture, Cultural Experience, Panoramic Views"
Attraction 94,Mount Leban,Culinary,None,6.5,"Vegan Options, Religious Sites, Scenic Views, Markets"
Attraction 95,Tripoli,Nature,Islam,5.1,"Workshops, Snow Activities"
Attraction 96,Baalbek,Culinary,Christianity,5.0,"Hiking, Snow Activities, Beaches"
Attraction 97,Mount Leban,Culinary,Christianity,6.1,"Relaxing, Cooking Classes, Panoramic Views, Snow Activities"
Attraction 98,Sidon,Historical,Islam,7.0,"Roman Architecture, Local Cuisine, Relaxing, Beaches"
Attraction 99,Baalbek,Nature,Islam,9.3,"Cooking Classes, Ancient Ruins, Hiking"
Attraction 100,Beirut,Historical,Islam,9.0,"Religious Sites, Traditional Dishes"
Attraction 101,Baalbek,Nature,None,6.3,"Markets, Scenic Views, Roman Architecture, Vegan Options"
Attraction 102,Tripoli,Culinary,Christianity,6.2,"Scenic Views, Street Food, Workshops"
Attraction 103,Baalbek,Nature,None,6.1,"Panoramic Views, Religious Sites, Cooking Classes"
Attraction 104,Beirut,Historical,None,6.7,"Beaches, Markets, Cooking Classes, Scenic Views"
Attraction 105,Tripoli,Historical,Christianity,7.5,"Religious Sites, Snow Activities, Beaches, Roman Architecture"
Attraction 106,Bsharri,Historical,Christianity,7.2,"Relaxing, Scenic Views, Traditional Dishes, Cultural Experience"
Attraction 107,Bsharri,Nature,Islam,6.1,"Snow Activities, Relaxing, Cultural Experience, Historical Production"
Attraction 108,North Leban,Culinary,Islam,5.7,"Markets, Beaches, Local Cuisine"
Attraction 109,Baalbek,Culinary,None,5.1,"Scenic Views, Religious Sites"
Attraction 110,Bsharri,Nature,Islam,5.8,"Snow Activities, Local Cuisine, Street Food, Markets"
Attraction 111,Beirut,Historical,Islam,8.5,"Cultural Experience, Relaxing"
Attraction 112,Tyre,Culinary,Christianity,6.2,"Panoramic Views, Roman Architecture, Markets, Local Cuisine"
Attraction 113,Tyre,Historical,Christianity,7.3,"Scenic Views, Markets"
Attraction 114,Tripoli,Nature,Islam,8.0,"Religious Sites, Roman Architecture, Cultural Experience, Local Cuisine"
Attraction 115,Bsharri,Historical,Christianity,9.4,"Workshops, Hiking, Snow Activities"
Attraction 116,Bsharri,Culinary,Islam,9.4,"Religious Sites, Hiking"
Attraction 117,Tyre,Culinary,Christianity,8.7,"Vegan Options, Cooking Classes, Panoramic Views, Scenic Views"
Attraction 118,Bsharri,Historical,Christianity,5.2,"Markets, Workshops, Cultural Experience"
Attraction 119,Baalbek,Nature,Christianity,7.9,"Local Cuisine, Vegan Options"
Attraction 120,Sidon,Historical,Christianity,8.9,"Cooking Classes, Ancient Ruins, Vegan Options"
Attraction 121,Byblos,Nature,Islam,5.1,"Ancient Ruins, Snow Activities, Markets"
Attraction 122,North Leban,Historical,None,7.7,"Snow Activities, Vegan Options, Street Food, Historical Production"
Attraction 123,Tripoli,Culinary,Christianity,9.3,"Religious Sites, Workshops, Snow Activities"
Attraction 124,Sidon,Nature,Islam,7.4,"Snow Activities, Cooking Classes"
Attraction 125,Tyre,Nature,Islam,5.0,"Hiking, Scenic Views, Religious Sites"
Attraction 126,Bsharri,Nature,Christianity,5.1,"Hiking, Traditional Dishes, Roman Architecture"
Attraction 127,North Leban,Culinary,None,7.1,"Religious Sites, Roman Architecture"
Attraction 128,Bsharri,Historical,Christianity,5.8,"Scenic Views, Workshops, Traditional Dishes"
Attraction 129,Beirut,Culinary,Islam,8.3,"Street Food, Religious Sites, Panoramic Views, Historical Production"
Attraction 130,Beirut,Nature,None,8.5,"Workshops, Relaxing, Vegan Options, Street Food"
Attraction 131,North Leban,Historical,Islam,5.9,"Cultural Experience, Hiking, Markets"
Attraction 132,North Leban,Culinary,Christianity,9.4,"Cooking Classes, Relaxing, Workshops, Religious Sites"
Attraction 133,Tyre,Nature,None,7.2,"Religious Sites, Ancient Ruins, Vegan Options, Cultural Experience"
Attraction 134,North Leban,Nature,Islam,5.7,"Roman Architecture, Religious Sites, Relaxing"
Attraction 135,Baalbek,Culinary,Islam,8.8,"Cultural Experience, Traditional Dishes, Panoramic Views, Snow Activities"
Attraction 136,Bsharri,Culinary,Islam,8.9,"Vegan Options, Cultural Experience"
Attraction 137,Sidon,Culinary,Christianity,8.2,"Hiking, Workshops, Beaches, Street Food"
Attraction 138,Mount Leban,Nature,None,9.3,"Hiking, Historical Production"
Attraction 139,North Leban,Culinary,Christianity,8.7,"Hiking, Workshops, Vegan Options"
Attraction 140,Tripoli,Nature,Christianity,9.4,"Panoramic Views, Scenic Views, Local Cuisine, Historical Production"
Attraction 141,Beirut,Culinary,Christianity,7.2,"Traditional Dishes, Ancient Ruins, Cooking Classes"
Attraction 142,Baalbek,Nature,None,8.7,"Traditional Dishes, Markets, Religious Sites"
Attraction 143,Mount Leban,Nature,Christianity,10.0,"Beaches, Ancient Ruins, Cultural Experience, Markets"
Attraction 144,Sidon,Historical,Christianity,8.6,"Panoramic Views, Street Food, Local Cuisine, Roman Architecture"
Attraction 145,Mount Leban,Culinary,Christianity,5.6,"Roman Architecture, Hiking, Vegan Options"
Attraction 146,North Leban,Culinary,Christianity,7.6,"Local Cuisine, Cooking Classes"
Attraction 147,Tyre,Nature,Islam,7.9,"Beaches, Cooking Classes, Snow Activities"
Attraction 148,Beirut,Nature,Christianity,5.9,"Traditional Dishes, Local Cuisine"
Attraction 149,Beirut,Nature,Islam,9.8,"Snow Activities, Street Food"
Attraction 150,Tyre,Historical,Christianity,5.9,"Traditional Dishes, Ancient Ruins"
Attraction 151,Bsharri,Historical,None,5.9,"Workshops, Local Cuisine, Historical Production"
Attraction 152,Byblos,Nature,Islam,9.6,"Religious Sites, Panoramic Views"
Attraction 153,Baalbek,Culinary,Islam,7.3,"Panoramic Views, Roman Architecture"
Attraction 154,Beirut,Culinary,Islam,5.3,"Traditional Dishes, Vegan Options, Panoramic Views, Cooking Classes"
Attraction 155,Tripoli,Historical,Islam,8.0,"Snow Activities, Cooking Classes, Street Food"
Attraction 156,Beirut,Historical,None,8.0,"Relaxing, Hiking"
Attraction 157,Mount Leban,Nature,Christianity,5.3,"Religious Sites, Street Food"
Attraction 158,Beirut,Culinary,Islam,9.9,"Ancient Ruins, Snow Activities"
Attraction 159,Beirut,Nature,None,7.7,"Panoramic Views, Scenic Views, Street Food"
Attraction 160,Byblos,Historical,Islam,7.8,"Traditional Dishes, Vegan Options"
Attraction 161,Byblos,Culinary,Christianity,7.6,"Local Cuisine, Traditional Dishes, Vegan Options"
Attraction 162,Sidon,Culinary,Islam,8.1,"Religious Sites, Snow Activities, Street Food"
Attraction 163,Bsharri,Historical,None,6.3,"Roman Architecture, Markets, Scenic Views, Panoramic Views"
Attraction 164,Tripoli,Nature,Christianity,6.4,"Religious Sites, Vegan Options, Snow Activities, Hiking"
Attraction 165,Beirut,Nature,None,7.6,"Scenic Views, Street Food, Cultural Experience"
Attraction 166,Beirut,Culinary,Christianity,9.0,"Cultural Experience, Historical Production"
Attraction 167,Baalbek,Historical,Christianity,5.2,"Scenic Views, Vegan Options"
Attraction 168,Byblos,Culinary,Christianity,8.0,"Religious Sites, Historical Production, Relaxing"
Attraction 169,Tripoli,Historical,Islam,9.0,"Ancient Ruins, Vegan Options, Traditional Dishes"
Attraction 170,Sidon,Nature,None,5.8,"Ancient Ruins, Local Cuisine"
Attraction 171,Bsharri,Historical,None,5.1,"Street Food, Markets"
Attraction 172,Tyre,Nature,None,6.6,"Hiking, Roman Architecture, Workshops, Cooking Classes"
Attraction 173,Bsharri,Historical,Christianity,7.9,"Cultural Experience, Panoramic Views"
Attraction 174,Mount Leban,Culinary,Islam,5.7,"Vegan Options, Snow Activities"
Attraction 175,Beirut,Nature,Christianity,7.1,"Cultural Experience, Religious Sites, Cooking Classes, Local Cuisine"
Attraction 176,Sidon,Culinary,None,7.8,"Vegan Options, Ancient Ruins, Panoramic Views"
Attraction 177,Mount Leban,Culinary,Islam,8.0,"Street Food, Panoramic Views"
Attraction 178,Tripoli,Nature,Islam,6.4,"Traditional Dishes, Roman Architecture"
Attraction 179,Tyre,Nature,Islam,7.0,"Historical Production, Ancient Ruins, Hiking"
Attraction 180,Byblos,Culinary,None,8.9,"Vegan Options, Local Cuisine, Snow Activities, Cooking Classes"
Attraction 181,Sidon,Culinary,Islam,9.7,"Roman Architecture, Scenic Views"
Attraction 182,Sidon,Culinary,Islam,9.3,"Hiking, Vegan Options"
Attraction 183,Beirut,Culinary,Christianity,7.8,"Cultural Experience, Religious Sites"
Attraction 184,North Leban,Nature,Christianity,7.1,"Vegan Options, Historical Production, Traditional Dishes, Workshops"
Attraction 185,Sidon,Nature,Islam,6.7,"Scenic Views, Ancient Ruins, Relaxing"
Attraction 186,Baalbek,Culinary,Islam,5.6,"Street Food, Ancient Ruins, Snow Activities"
Attraction 187,Tyre,Historical,Christianity,5.5,"Scenic Views, Historical Production"
Attraction 188,Tyre,Historical,Christianity,8.4,"Historical Production, Religious Sites"
Attraction 189,Baalbek,Nature,Christianity,6.3,"Workshops, Beaches, Traditional Dishes"
Attraction 190,Baalbek,Culinary,None,6.3,"Cooking Classes, Local Cuisine"
Attraction 191,Baalbek,Culinary,None,10.0,"Traditional Dishes, Markets, Historical Production, Cooking Classes"
Attraction 192,Tyre,Nature,Christianity,5.9,"Scenic Views, Cultural Experience, Traditional Dishes"
Attraction 193,Bsharri,Historical,Islam,5.7,"Vegan Options, Religious Sites, Workshops, Traditional Dishes"
Attraction 194,Tyre,Historical,Christianity,5.5,"Hiking, Cultural Experience, Ancient Ruins"
Attraction 195,North Leban,Historical,None,7.9,"Roman Architecture, Relaxing, Scenic Views, Traditional Dishes"
Attraction 196,Beirut,Nature,Islam,8.1,"Ancient Ruins, Markets, Relaxing, Cultural Experience"
Attraction 197,Mount Leban,Historical,None,6.8,"Vegan Options, Panoramic Views"
Attraction 198,Bsharri,Nature,Islam,7.7,"Hiking, Cultural Experience"
Attraction 199,Byblos,Nature,None,8.9,"Local Cuisine, Historical Production"
Attraction 200,Mount Leban,Culinary,Islam,9.1,"Panoramic Views, Snow Activities"
Attraction 201,Beirut,Historical,Islam,9.8,"Beaches, Panoramic Views, Ancient Ruins"
Attraction 202,North Leban,Nature,Islam,9.1,"Cultural Experience, Roman Architecture, Religious Sites, Relaxing"
Attraction 203,North Leban,Historical,Islam,7.8,"Traditional Dishes, Historical Production, Vegan Options, Markets"
Attraction 204,Byblos,Historical,None,5.9,"Religious Sites, Panoramic Views, Traditional Dishes"
Attraction 205,Bsharri,Culinary,None,5.5,"Beaches, Local Cuisine, Panoramic Views"
Attraction 206,Baalbek,Historical,Islam,5.3,"Traditional Dishes, Religious Sites, Historical Production, Cooking Classes"
Attraction 207,Bsharri,Culinary,Islam,8.3,"Roman Architecture, Beaches, Workshops"
Attraction 208,North Leban,Nature,None,9.0,"Markets, Traditional Dishes, Street Food, Ancient Ruins"
Attraction 209,Tyre,Historical,Islam,7.5,"Cooking Classes, Vegan Options, Traditional Dishes"
Attraction 210,Beirut,Nature,Islam,5.3,"Relaxing, Cultural Experience, Panoramic Views, Cooking Classes"
Attraction 211,Byblos,Historical,Islam,7.7,"Traditional Dishes, Roman Architecture"
Attraction 212,Beirut,Nature,Christianity,9.7,"Roman Architecture, Hiking, Panoramic Views"
Attraction 213,Tripoli,Historical,Islam,8.0,"Street Food, Local Cuisine, Cultural Experience, Panoramic Views"
Attraction 214,Tripoli,Historical,Christianity,9.0,"Vegan Options, Traditional Dishes"
Attraction 215,Bsharri,Historical,Islam,9.0,"Hiking, Cooking Classes, Religious Sites, Cultural Experience"
Attraction 216,North Leban,Historical,None,9.7,"Vegan Options, Traditional Dishes, Ancient Ruins, Hiking"
Attraction 217,North Leban,Historical,Christianity,8.9,"Traditional Dishes, Historical Production"
Attraction 218,Baalbek,Historical,Christianity,8.7,"Beaches, Relaxing, Local Cuisine"
Attraction 219,Baalbek,Historical,Islam,6.2,"Roman Architecture, Hiking, Religious Sites, Markets"
Attraction 220,Baalbek,Historical,Islam,5.3,"Relaxing, Ancient Ruins, Local Cuisine"
Attraction 221,Tyre,Historical,Christianity,7.6,"Religious Sites, Panoramic Views, Hiking"
Attraction 222,Mount Leban,Nature,None,5.6,"Hiking, Religious Sites, Snow Activities"
Attraction 223,Sidon,Culinary,None,9.8,"Vegan Options, Workshops, Panoramic Views"
Attraction 224,Mount Leban,Historical,Islam,6.4,"Scenic Views, Panoramic Views, Religious Sites, Local Cuisine"
Attraction 225,Beirut,Culinary,None,9.3,"Beaches, Markets"
Attraction 226,Mount Leban,Historical,None,6.9,"Scenic Views, Ancient Ruins"
Attraction 227,Tyre,Historical,Islam,6.6,"Markets, Religious Sites, Beaches, Street Food"
Attraction 228,Beirut,Nature,None,9.7,"Markets, Snow Activities, Traditional Dishes, Cultural Experience"
Attraction 229,Mount Leban,Nature,Islam,6.8,"Markets, Snow Activities"
Attraction 230,Tyre,Culinary,Christianity,7.0,"Street Food, Relaxing, Historical Production, Traditional Dishes"
Attraction 231,Sidon,Nature,Islam,5.5,"Markets, Ancient Ruins, Cooking Classes"
Attraction 232,Mount Leban,Nature,Christianity,8.4,"Hiking, Roman Architecture, Relaxing, Snow Activities"
Attraction 233,Tyre,Culinary,Christianity,6.4,"Cooking Classes, Religious Sites, Roman Architecture"
Attraction 234,Baalbek,Nature,None,7.9,"Markets, Snow Activities, Beaches"
Attraction 235,North Leban,Historical,None,8.0,"Religious Sites, Markets, Street Food, Relaxing"
Attraction 236,Baalbek,Culinary,None,8.6,"Roman Architecture, Panoramic Views, Cooking Classes"
Attraction 237,North Leban,Culinary,Islam,8.7,"Relaxing, Cultural Experience"
Attraction 238,Byblos,Historical,None,7.6,"Religious Sites, Ancient Ruins, Snow Activities, Vegan Options"
Attraction 239,Byblos,Nature,Christianity,6.7,"Relaxing, Historical Production, Workshops, Panoramic Views"
Attraction 240,Byblos,Culinary,None,9.2,"Religious Sites, Street Food, Workshops, Local Cuisine"
Attraction 241,Sidon,Culinary,None,6.5,"Cultural Experience, Cooking Classes, Panoramic Views, Local Cuisine"
Attraction 242,Baalbek,Historical,Islam,7.5,"Scenic Views, Panoramic Views, Traditional Dishes, Ancient Ruins"
Attraction 243,North Leban,Historical,Islam,7.0,"Street Food, Beaches, Relaxing, Scenic Views"
Attraction 244,Tyre,Nature,Christianity,9.3,"Cultural Experience, Religious Sites, Street Food, Historical Production"
Attraction 245,Beirut,Culinary,Islam,7.2,"Workshops, Street Food, Markets, Historical Production"
Attraction 246,Tyre,Nature,None,6.9,"Historical Production, Ancient Ruins"
Attraction 247,Beirut,Nature,Islam,8.4,"Workshops, Cooking Classes"
Attraction 248,Tripoli,Historical,Christianity,8.0,"Religious Sites, Hiking, Traditional Dishes"
Attraction 249,Tyre,Culinary,None,5.5,"Traditional Dishes, Roman Architecture, Relaxing, Hiking"
Attraction 250,Mount Leban,Culinary,Christianity,7.5,"Local Cuisine, Roman Architecture"
Attraction 251,Mount Leban,Culinary,Islam,8.7,"Hiking, Panoramic Views, Local Cuisine, Snow Activities"
Attraction 252,Bsharri,Historical,Islam,10.0,"Ancient Ruins, Cultural Experience, Workshops"
Attraction 253,Baalbek,Historical,Christianity,8.1,"Workshops, Street Food, Panoramic Views, Cooking Classes"
Attraction 254,Beirut,Historical,None,6.9,"Ancient Ruins, Traditional Dishes, Relaxing, Beaches"
Attraction 255,Beirut,Historical,Islam,6.1,"Markets, Vegan Options"
Attraction 256,Baalbek,Historical,Islam,9.4,"Cultural Experience, Snow Activities"
Attraction 257,Sidon,Culinary,None,9.1,"Vegan Options, Snow Activities"
Attraction 258,Bsharri,Nature,Islam,6.2,"Cultural Experience, Street Food, Local Cuisine, Vegan Options"
Attraction 259,Sidon,Culinary,Christianity,6.0,"Cooking Classes, Vegan Options"
Attraction 260,Sidon,Nature,Islam,8.6,"Beaches, Hiking, Cultural Experience"
Attraction 261,Sidon,Historical,Islam,6.6,"Markets, Vegan Options, Historical Production"
Attraction 262,Baalbek,Nature,None,6.5,"Scenic Views, Snow Activities, Roman Architecture, Beaches"
Attraction 263,Sidon,Culinary,Christianity,5.8,"Hiking, Local Cuisine, Ancient Ruins"
Attraction 264,Mount Leban,Culinary,None,6.3,"Snow Activities, Markets"
Attraction 265,Byblos,Nature,Islam,7.1,"Religious Sites, Relaxing, Beaches, Vegan Options"
Attraction 266,Tripoli,Historical,Islam,8.7,"Cultural Experience, Religious Sites, Hiking"
Attraction 267,Beirut,Historical,None,6.7,"Snow Activities, Hiking, Beaches"
Attraction 268,Beirut,Culinary,None,6.6,"Cooking Classes, Beaches, Cultural Experience, Hiking"
Attraction 269,Tripoli,Nature,None,6.4,"Relaxing, Cultural Experience"
Attraction 270,Baalbek,Historical,Christianity,7.4,"Local Cuisine, Roman Architecture, Scenic Views"
Attraction 271,Tyre,Historical,Islam,5.9,"Markets, Vegan Options, Local Cuisine"
Attraction 272,Baalbek,Culinary,None,7.4,"Beaches, Cultural Experience"
Attraction 273,Beirut,Historical,Islam,8.5,"Hiking, Cultural Experience, Traditional Dishes, Panoramic Views"
Attraction 274,Beirut,Nature,Christianity,5.1,"Roman Architecture, Markets, Cooking Classes"
Attraction 275,Tripoli,Culinary,Christianity,5.0,"Relaxing, Local Cuisine"
Attraction 276,Sidon,Culinary,Christianity,5.4,"Workshops, Markets, Hiking"
Attraction 277,Baalbek,Nature,Christianity,7.7,"Beaches, Hiking, Scenic Views"
Attraction 278,North Leban,Culinary,Islam,9.3,"Markets, Local Cuisine"
Attraction 279,Tripoli,Historical,Christianity,5.0,"Traditional Dishes, Hiking, Relaxing"
Attraction 280,Mount Leban,Historical,Christianity,9.7,"Vegan Options, Panoramic Views"
Attraction 281,Beirut,Nature,None,5.5,"Cultural Experience, Religious Sites, Panoramic Views, Historical Production"
Attraction 282,Tripoli,Historical,Christianity,9.2,"Street Food, Roman Architecture, Panoramic Views"
Attraction 283,Baalbek,Nature,None,7.4,"Local Cuisine, Relaxing, Historical Production, Scenic Views"
Attraction 284,Beirut,Nature,Christianity,8.3,"Street Food, Scenic Views, Vegan Options, Local Cuisine"
Attraction 285,Tyre,Historical,Christianity,7.6,"Roman Architecture, Hiking"
Attraction 286,Tripoli,Nature,None,7.4,"Ancient Ruins, Traditional Dishes, Panoramic Views, Street Food"
Attraction 287,Bsharri,Historical,Christianity,9.2,"Panoramic Views, Markets"
Attraction 288,Beirut,Culinary,Islam,8.8,"Scenic Views, Roman Architecture, Panoramic Views, Traditional Dishes"
Attraction 289,Baalbek,Culinary,Islam,7.4,"Panoramic Views, Vegan Options, Scenic Views, Snow Activities"
Attraction 290,Byblos,Nature,Christianity,5.6,"Local Cuisine, Scenic Views"
Attraction 291,North Leban,Historical,Islam,5.6,"Local Cuisine, Traditional Dishes, Relaxing"
Attraction 292,Sidon,Historical,None,9.0,"Panoramic Views, Cooking Classes, Roman Architecture, Traditional Dishes"
Attraction 293,Baalbek,Culinary,Christianity,7.6,"Cultural Experience, Street Food"
Attraction 294,Mount Leban,Culinary,Christianity,7.4,"Religious Sites, Relaxing, Local Cuisine"
Attraction 295,Mount Leban,Historical,None,8.4,"Cooking Classes, Historical Production, Workshops, Relaxing"
Attraction 296,Byblos,Nature,None,9.3,"Panoramic Views, Relaxing"
